category,label,description,file_patterns,directory_patterns,package_keywords
web,Web,Front-end web applications and browser-rendered sites,"package.json;vite.config.*;next.config.*;src/App.*;src/pages/*;src/components/*;*.tsx;*.jsx;index.html","src;pages;components;public","react;next;vite;vue;svelte;astro"
mobile,Mobile,Native or cross-platform mobile applications,"package.json;app.json;android/AndroidManifest.xml;ios/Podfile;src/screens/*;lib/main.dart;*.kt;*.swift","android;ios;screens;mobile;lib","react-native;expo;flutter;cordova;capacitor"
backend,Backend,Server-side APIs and service applications,"package.json;src/server.*;src/routes/*;src/controllers/*;app.py;main.py;go.mod;cmd/server/*","routes;controllers;api;server;cmd","express;fastify;koa;nestjs;django;flask;gin"
cli,CLI,Command-line tools and terminal applications,"package.json;bin/*;src/cli.*;src/commands/*;cmd/*;argparse;commander;cobra;click","bin;commands;cmd;cli","commander;yargs;oclif;meow;click;cobra"
library,Library,Reusable packages intended for import by other projects,"package.json;src/index.*;lib/index.*;include/*.h;README.md;pyproject.toml;setup.cfg","src;lib;include;pkg","rollup;tsup;microbundle;setuptools;maturin"
desktop,Desktop,Desktop GUI applications for local operating systems,"package.json;src/main.*;src/preload.*;electron.*;tauri.conf.json;src-tauri/*;*.csproj;mainwindow.*","src-tauri;desktop;windows;macos","electron;tauri;wails;neutralino"
game,Game,Interactive games and real-time simulations,"package.json;src/game.*;src/scenes/*;Assets/*;ProjectSettings/*;godot.project;*.unity;*.gd","assets;scenes;scripts;projectsettings","phaser;pixi;three;unity;godot;bevy"
data,Data,Data pipelines analytics notebooks and machine learning projects,"requirements.txt;pyproject.toml;notebooks/*;*.ipynb;dags/*;models/*;src/pipelines/*","notebooks;data;dags;models;pipelines","pandas;numpy;scikit-learn;tensorflow;pytorch;airflow"
extension,Extension,Editor browser or platform extensions/plugins,"package.json;manifest.json;extension.ts;src/extension.*;.vscodeignore;media/*;commands/*","media;commands;extension;vscode","vscode;chrome;webextension-polyfill;firefox"
infra/embedded,Infra/Embedded,Infrastructure automation firmware and embedded systems,"main.tf;variables.tf;Dockerfile;docker-compose.yml;ansible.cfg;platformio.ini;CMakeLists.txt;src/main.c;*.ino","terraform;ansible;k8s;helm;firmware;src","terraform;ansible;platformio;arduino"
